Symbol,Tier 0,Tier 1,Tier 2,Tier 3
BTCUSDT,15000000,30000000,60000000,120000000
ETHUSDT,8000000,16000000,32000000,64000000
MATICUSDT,750000,1500000,3000000,6000000
LINKUSDT,600000,1200000,2400000,4800000
BNBUSDT,750000,1500000,3000000,6000000
XRPUSDT,1250000,2500000,5000000,10000000
LDOUSDT,125000,250000,500000,1000000
ADAUSDT,400000,800000,1600000,3200000
DOGEUSDT,2000000,4000000,8000000,16000000
SOLUSDT,1250000,2500000,5000000,10000000
LTCUSDT,1000000,2000000,4000000,8000000
DOTUSDT,350000,700000,1400000,2800000
AVAXUSDT,400000,800000,1600000,3200000
UNIUSDT,100000,200000,400000,800000
ATOMUSDT,100000,200000,400000,800000
FILUSDT,250000,500000,1000000,2000000
APTUSDT,100000,200000,400000,800000
ARBUSDT,500000,1000000,2000000,4000000
VETUSDT,50000,100000,200000,400000
APEUSDT,200000,400000,800000,1600000
AAVEUSDT,125000,250000,500000,1000000
OPUSDT,200000,400000,800000,1600000
FTMUSDT,100000,200000,400000,800000
THETAUSDT,50000,100000,200000,400000
AXSUSDT,50000,100000,200000,400000
CRVUSDT,500000,1000000,2000000,4000000
MKRUSDT,500000,1000000,2000000,4000000
GMXUSDT,10000,20000,40000,80000
